"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.07.2024","18.400,0","18.300,0","18.400,0","18.300,0","199,41K","0,44%"
"05.07.2024","18.320,0","18.320,0","18.360,0","18.240,0","278,23K","-0,33%"
"04.07.2024","18.380,0","18.360,0","18.480,0","18.300,0","75,73K","0,44%"
"03.07.2024","18.300,0","18.320,0","18.480,0","18.260,0","140,77K","0,55%"
"02.07.2024","18.200,0","18.240,0","18.400,0","18.200,0","369,71K","0,00%"
"28.06.2024","18.200,0","17.980,0","18.480,0","17.960,0","355,88K","1,00%"
"27.06.2024","18.020,0","18.000,0","18.100,0","17.940,0","135,68K","0,78%"
"26.06.2024","17.880,0","17.840,0","18.180,0","17.840,0","408,18K","0,79%"
"25.06.2024","17.740,0","17.800,0","17.880,0","17.740,0","185,93K","-1,44%"
"24.06.2024","18.000,0","17.900,0","18.000,0","17.820,0","311,65K","1,47%"
"21.06.2024","17.740,0","17.960,0","18.060,0","17.740,0","414,19K","-0,56%"
"20.06.2024","17.840,0","17.720,0","18.140,0","17.720,0","364,68K","0,68%"
"19.06.2024","17.720,0","18.320,0","18.340,0","17.720,0","185,06K","-3,06%"
"18.06.2024","18.280,0","17.900,0","18.280,0","17.880,0","167,50K","3,86%"
"17.06.2024","17.600,0","17.780,0","17.860,0","17.500,0","382,29K","0,46%"
"14.06.2024","17.520,0","17.720,0","17.720,0","17.520,0","191,17K","-1,02%"
"13.06.2024","17.700,0","18.080,0","18.140,0","17.700,0","248,23K","-1,67%"
"12.06.2024","18.000,0","18.320,0","18.440,0","17.880,0","265,79K","-1,10%"
"11.06.2024","18.200,0","18.740,0","18.800,0","18.200,0","630,13K","-2,57%"
"07.06.2024","18.680,0","19.060,0","19.120,0","18.680,0","169,16K","-1,99%"
"06.06.2024","19.060,0","19.080,0","19.100,0","19.000,0","192,30K","-0,73%"
"05.06.2024","19.200,0","19.100,0","19.320,0","18.940,0","420,31K","1,05%"
"04.06.2024","19.000,0","19.140,0","19.180,0","18.740,0","276,88K","-0,73%"
"31.05.2024","19.140,0","18.560,0","19.140,0","18.500,0","3,33M","1,59%"
"30.05.2024","18.840,0","18.380,0","18.840,0","18.300,0","411,32K","3,40%"
"29.05.2024","18.220,0","18.480,0","18.480,0","18.220,0","181,12K","-0,55%"
"28.05.2024","18.320,0","18.720,0","18.860,0","18.320,0","414,91K","-3,98%"
"27.05.2024","19.080,0","18.380,0","19.080,0","18.380,0","211,78K","2,69%"
"24.05.2024","18.580,0","18.200,0","18.580,0","18.200,0","194,88K","1,75%"
"23.05.2024","18.260,0","18.120,0","18.440,0","18.100,0","191,30K","-0,98%"
"22.05.2024","18.440,0","18.700,0","18.700,0","18.440,0","300,97K","-0,86%"
"21.05.2024","18.600,0","18.860,0","18.960,0","18.600,0","260,99K","-0,85%"
"20.05.2024","18.760,0","18.940,0","18.960,0","18.760,0","891,60K","0,00%"
"17.05.2024","18.760,0","18.760,0","18.920,0","18.500,0","729,30K","0,00%"
"16.05.2024","18.760,0","18.880,0","18.900,0","18.720,0","418,87K","0,00%"
"15.05.2024","18.760,0","18.900,0","18.900,0","18.740,0","265,72K","-0,21%"
"14.05.2024","18.800,0","18.740,0","18.860,0","18.720,0","453,80K","0,64%"
"10.05.2024","18.680,0","18.840,0","18.880,0","18.680,0","389,95K","-0,32%"
"09.05.2024","18.740,0","18.840,0","19.000,0","18.720,0","456,95K","-0,11%"
"08.05.2024","18.760,0","18.900,0","18.900,0","18.580,0","641,43K","0,00%"
"07.05.2024","18.760,0","19.040,0","19.180,0","18.760,0","473,19K","-1,26%"
"06.05.2024","19.000,0","19.060,0","19.120,0","18.880,0","244,29K","-0,52%"
"03.05.2024","19.100,0","18.800,0","19.100,0","18.600,0","537,90K","1,60%"
"02.05.2024","18.800,0","18.460,0","18.800,0","18.100,0","757,80K","3,87%"
"30.04.2024","18.100,0","18.780,0","18.880,0","18.100,0","615,67K","-3,62%"
"29.04.2024","18.780,0","18.300,0","18.780,0","18.160,0","443,96K","3,99%"
"26.04.2024","18.060,0","18.100,0","18.180,0","17.940,0","474,19K","0,89%"
"25.04.2024","17.900,0","18.180,0","18.280,0","17.900,0","401,74K","-1,65%"
"24.04.2024","18.200,0","17.840,0","18.300,0","17.700,0","1,24M","1,68%"
"23.04.2024","17.900,0","18.240,0","18.240,0","17.840,0","269,11K","-1,10%"
"22.04.2024","18.100,0","18.540,0","18.560,0","18.080,0","345,70K","0,56%"
"19.04.2024","18.000,0","17.980,0","18.280,0","17.920,0","548,95K","0,11%"
"18.04.2024","17.980,0","18.400,0","18.400,0","17.860,0","402,31K","-2,28%"
"17.04.2024","18.400,0","18.500,0","18.800,0","18.340,0","562,48K","-0,54%"
"16.04.2024","18.500,0","18.600,0","19.020,0","18.500,0","397,82K","-0,54%"
"15.04.2024","18.600,0","19.100,0","19.100,0","18.600,0","460,63K","-2,11%"
"12.04.2024","19.000,0","19.700,0","19.800,0","19.000,0","242,74K","-3,55%"
"11.04.2024","19.700,0","19.960,0","20.000,0","19.700,0","1,67M","-0,51%"
"10.04.2024","19.800,0","19.740,0","20.140,0","19.740,0","1,26M","0,61%"
"09.04.2024","19.680,0","19.300,0","19.980,0","19.300,0","802,04K","2,50%"
"08.04.2024","19.200,0","19.500,0","19.580,0","19.100,0","566,40K","0,00%"
"05.04.2024","19.200,0","19.680,0","19.720,0","19.200,0","363,59K","-2,24%"
"04.04.2024","19.640,0","19.740,0","19.800,0","19.640,0","483,99K","0,20%"
"03.04.2024","19.600,0","19.660,0","19.860,0","19.600,0","160,92K","-1,31%"
"02.04.2024","19.860,0","19.700,0","19.980,0","19.560,0","438,85K","1,33%"
"01.04.2024","19.600,0","19.720,0","19.720,0","19.440,0","219,91K","-0,91%"
"27.03.2024","19.780,0","19.440,0","19.780,0","19.260,0","120,63K","1,96%"
"26.03.2024","19.400,0","19.300,0","19.500,0","19.300,0","162,07K","-0,10%"
"22.03.2024","19.420,0","19.340,0","19.420,0","19.240,0","157,00K","0,41%"
"21.03.2024","19.340,0","19.060,0","19.340,0","18.940,0","511,14K","1,26%"
"20.03.2024","19.100,0","19.400,0","19.460,0","18.980,0","230,86K","-1,04%"
"19.03.2024","19.300,0","19.600,0","19.660,0","19.300,0","120,89K","-2,03%"
"18.03.2024","19.700,0","19.140,0","20.340,0","19.000,0","510,18K","-1,30%"
"15.03.2024","19.960,0","19.000,0","19.960,0","18.680,0","2,31M","3,96%"
"14.03.2024","19.200,0","18.280,0","19.200,0","18.280,0","642,00K","3,78%"
"13.03.2024","18.500,0","17.500,0","18.500,0","17.500,0","388,12K","4,88%"
"12.03.2024","17.640,0","18.060,0","18.240,0","17.080,0","1,34M","-4,13%"
"11.03.2024","18.400,0","18.040,0","18.400,0","17.980,0","293,11K","1,10%"
"08.03.2024","18.200,0","18.000,0","18.480,0","18.000,0","840,25K","1,22%"
"07.03.2024","17.980,0","17.660,0","18.100,0","17.380,0","461,03K","1,35%"
"06.03.2024","17.740,0","17.280,0","17.980,0","17.280,0","612,66K","3,14%"
"05.03.2024","17.200,0","16.920,0","17.200,0","16.900,0","266,14K","1,78%"
"04.03.2024","16.900,0","16.860,0","16.980,0","16.600,0","153,56K","0,24%"
"01.03.2024","16.860,0","16.720,0","17.140,0","16.720,0","210,75K","0,84%"
"29.02.2024","16.720,0","17.180,0","17.180,0","16.680,0","1,37M","-2,56%"
"28.02.2024","17.160,0","17.400,0","17.440,0","17.160,0","192,06K","-1,04%"
"27.02.2024","17.340,0","17.180,0","17.400,0","17.180,0","134,54K","0,81%"
"26.02.2024","17.200,0","17.000,0","17.400,0","16.960,0","185,03K","0,58%"
"23.02.2024","17.100,0","17.140,0","17.140,0","17.060,0","499,89K","0,00%"
"22.02.2024","17.100,0","17.140,0","17.320,0","17.100,0","282,12K","-0,23%"
"21.02.2024","17.140,0","16.640,0","17.180,0","16.640,0","797,79K","2,02%"
"20.02.2024","16.800,0","16.500,0","16.800,0","16.320,0","177,82K","1,20%"
"19.02.2024","16.600,0","16.300,0","16.600,0","16.000,0","228,34K","-1,19%"
"16.02.2024","16.800,0","16.780,0","16.800,0","16.640,0","115,62K","1,20%"
"15.02.2024","16.600,0","16.560,0","16.820,0","16.560,0","77,01K","0,00%"
"14.02.2024","16.600,0","16.120,0","16.620,0","16.120,0","301,39K","3,75%"
"13.02.2024","16.000,0","16.220,0","16.220,0","16.000,0","312,11K","-1,36%"
"12.02.2024","16.220,0","16.260,0","16.440,0","16.220,0","70,39K","0,50%"
"09.02.2024","16.140,0","16.520,0","16.520,0","16.140,0","235,90K","-0,98%"
"08.02.2024","16.300,0","16.760,0","16.760,0","16.300,0","269,16K","-2,74%"
"07.02.2024","16.760,0","16.840,0","16.860,0","16.740,0","228,41K","-0,36%"
"06.02.2024","16.820,0","16.820,0","16.820,0","16.700,0","133,55K","-0,36%"
"05.02.2024","16.880,0","16.900,0","16.940,0","16.860,0","120,01K","-0,47%"
"02.02.2024","16.960,0","16.920,0","16.960,0","16.760,0","86,73K","0,00%"
"01.02.2024","16.960,0","16.980,0","17.000,0","16.880,0","241,89K","0,59%"
"31.01.2024","16.860,0","16.800,0","17.160,0","16.800,0","315,02K","0,36%"
"30.01.2024","16.800,0","17.160,0","17.160,0","16.800,0","510,07K","-1,75%"
"29.01.2024","17.100,0","17.100,0","17.220,0","17.020,0","263,52K","0,00%"
"26.01.2024","17.100,0","16.980,0","17.280,0","16.860,0","329,70K","1,18%"
"25.01.2024","16.900,0","16.740,0","16.980,0","16.540,0","301,52K","0,96%"
"24.01.2024","16.740,0","16.960,0","16.960,0","16.720,0","198,77K","-0,83%"
"23.01.2024","16.880,0","17.160,0","17.360,0","16.880,0","328,64K","-0,71%"
"22.01.2024","17.000,0","17.000,0","17.220,0","16.800,0","266,96K","-1,28%"
"19.01.2024","17.220,0","17.120,0","17.220,0","16.700,0","325,77K","1,18%"
"18.01.2024","17.020,0","17.640,0","17.640,0","17.020,0","807,28K","-2,18%"
"17.01.2024","17.400,0","18.020,0","18.140,0","17.400,0","554,38K","-3,55%"
"16.01.2024","18.040,0","17.540,0","18.060,0","17.540,0","415,95K","3,20%"
"15.01.2024","17.480,0","17.660,0","17.660,0","17.400,0","117,84K","-1,24%"
"12.01.2024","17.700,0","17.400,0","17.700,0","17.400,0","305,43K","1,72%"
"11.01.2024","17.400,0","17.480,0","17.580,0","17.340,0","312,39K","0,00%"
"10.01.2024","17.400,0","17.680,0","17.940,0","17.320,0","209,08K","-1,47%"
"09.01.2024","17.660,0","16.960,0","17.740,0","16.880,0","247,11K","3,88%"
"05.01.2024","17.000,0","16.620,0","17.120,0","16.620,0","414,70K","2,41%"
"04.01.2024","16.600,0","16.380,0","16.780,0","16.320,0","590,04K","2,72%"
"03.01.2024","16.160,0","16.280,0","16.380,0","16.060,0","349,46K","-0,98%"
"02.01.2024","16.320,0","15.480,0","16.340,0","15.420,0","333,95K","5,43%"
"28.12.2023","15.480,0","15.560,0","15.720,0","15.320,0","330,63K","-0,26%"
"27.12.2023","15.520,0","15.460,0","15.600,0","15.160,0","462,65K","1,84%"
"26.12.2023","15.240,0","15.200,0","15.460,0","15.200,0","45,43K","1,33%"
"22.12.2023","15.040,0","15.080,0","15.280,0","15.040,0","144,57K","1,08%"
"21.12.2023","14.880,0","15.160,0","15.160,0","14.860,0","343,86K","0,27%"
"20.12.2023","14.840,0","15.100,0","15.260,0","14.840,0","310,94K","-2,11%"
"19.12.2023","15.160,0","15.120,0","15.200,0","15.000,0","247,87K","0,00%"
"18.12.2023","15.160,0","15.280,0","15.300,0","15.000,0","126,71K","0,00%"
"15.12.2023","15.160,0","15.060,0","15.300,0","14.980,0","1,41M","0,66%"
"14.12.2023","15.060,0","15.440,0","15.440,0","15.000,0","581,02K","-3,46%"
"13.12.2023","15.600,0","15.500,0","15.600,0","15.440,0","424,54K","0,65%"
"12.12.2023","15.500,0","15.500,0","15.520,0","15.320,0","152,47K","0,00%"
"11.12.2023","15.500,0","15.640,0","15.660,0","15.420,0","184,31K","-1,90%"
"07.12.2023","15.800,0","15.300,0","15.800,0","15.200,0","279,73K","3,27%"
"06.12.2023","15.300,0","15.360,0","15.380,0","15.280,0","145,29K","0,00%"
"05.12.2023","15.300,0","15.300,0","15.480,0","15.180,0","315,08K","0,66%"
"04.12.2023","15.200,0","15.280,0","15.300,0","15.200,0","326,89K","-0,13%"
"01.12.2023","15.220,0","15.340,0","15.400,0","15.160,0","236,86K","0,40%"
"30.11.2023","15.160,0","15.360,0","15.600,0","15.160,0","2,18M","0,00%"
"29.11.2023","15.160,0","15.220,0","15.260,0","15.040,0","568,12K","-0,26%"
"28.11.2023","15.200,0","15.300,0","15.340,0","15.140,0","171,79K","0,53%"
"27.11.2023","15.120,0","15.240,0","15.240,0","15.100,0","342,33K","-0,79%"
"24.11.2023","15.240,0","15.300,0","15.320,0","15.100,0","333,70K","0,00%"
"23.11.2023","15.240,0","15.320,0","15.480,0","15.100,0","252,67K","-1,68%"
"22.11.2023","15.500,0","15.500,0","15.640,0","15.300,0","244,62K","-0,64%"
